PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1984,2.23,2.86,3.34,4.37,5.2,6.05,6.73,6.04,4.61,2.6,2.5,1.59,4.01
ALLSKY_SFC_SW_DWN,1985,2.33,3.13,4.2,5.45,6.15,5.88,6.53,4.92,4.06,2.83,1.86,2.05,4.12
ALLSKY_SFC_SW_DWN,1986,2.59,2.55,4.37,5.23,5.87,6.69,6.72,5.23,3.92,2.81,2.2,1.8,4.18
ALLSKY_SFC_SW_DWN,1987,2.08,2.97,4,5.77,6.21,6.73,6.62,5.31,4.63,3.62,2.37,1.59,4.33
ALLSKY_SFC_SW_DWN,1988,2.05,3.39,4.5,5.27,6.11,6.83,6.38,5.95,4.62,3.54,2.35,2.08,4.43
ALLSKY_SFC_SW_DWN,1989,2.26,2.66,4.47,5.71,5.66,6.09,6.42,5.55,4.38,3.71,2.77,1.77,4.3
ALLSKY_SFC_SW_DWN,1990,2.49,2.95,3.32,4.94,4.78,6.43,6.41,6.06,5.05,3.81,2.49,1.71,4.21
ALLSKY_SFC_SW_DWN,1991,2.52,3.47,4.27,4.65,5.17,6.55,6.92,5.7,4.81,3.54,1.92,1.73,4.27
ALLSKY_SFC_SW_DWN,1992,2.03,2.73,3.78,4.75,6.04,5.4,5.69,5.71,4.75,3.2,1.48,1.55,3.93
ALLSKY_SFC_SW_DWN,1993,2.21,2.76,3.39,4.12,5.01,5.78,5.37,5.35,4.28,3.15,2.52,1.97,3.83
ALLSKY_SFC_SW_DWN,1994,2.06,2.97,4.53,4.81,6.43,6.18,6.61,5.72,4.84,3.34,2.1,1.84,4.29
ALLSKY_SFC_SW_DWN,1995,2.23,3.3,3.83,4.51,4.04,6.21,6.65,5.86,4.56,3.57,2.45,1.65,4.07
ALLSKY_SFC_SW_DWN,1996,1.95,3.4,4.27,5.62,4.41,6.72,6.2,5.27,4.54,3.55,2.05,1.82,4.15
ALLSKY_SFC_SW_DWN,1997,2.28,2.87,4.59,4.75,6.19,6.73,6.82,5.66,4.71,3.45,2.21,2.02,4.37
ALLSKY_SFC_SW_DWN,1998,1.95,2.39,3.36,5.03,6.46,6.39,5.66,5.85,4.65,3.29,2.21,1.96,4.11
ALLSKY_SFC_SW_DWN,1999,1.92,2.89,4.41,4.26,5.79,5.47,6.68,5.7,4.63,4.08,2.97,1.79,4.23
ALLSKY_SFC_SW_DWN,2000,2.14,2.97,3.9,5.3,5.57,6.34,6.44,5.73,4.81,3.24,2.51,2.24,4.27
ALLSKY_SFC_SW_DWN,2001,2.31,2.34,4.09,5.17,5.73,6.54,6.39,6.25,4.72,3.65,2.46,2.16,4.33
ALLSKY_SFC_SW_DWN,2002,2.3,3.5,4.34,4.98,6.26,6.75,6.66,5.46,5.13,2.96,2.5,2.18,4.42
ALLSKY_SFC_SW_DWN,2003,2.27,2.7,4.07,4.76,6.02,6.27,7.15,5.61,4.78,3.86,2.07,1.8,4.29
ALLSKY_SFC_SW_DWN,2004,2.04,3.05,3.88,5.34,6.1,6.1,5.96,5.92,5.49,3.07,1.98,2.18,4.26
ALLSKY_SFC_SW_DWN,2005,1.72,2.78,4.17,5.1,6.43,6.49,6.97,5.38,4.72,3.52,2.52,1.93,4.32
ALLSKY_SFC_SW_DWN,2006,2.34,3.48,3.69,5.42,5.78,6.73,6.86,5.56,4.77,3.22,2.51,1.94,4.36
ALLSKY_SFC_SW_DWN,2007,2.29,3.07,3.87,5.2,5.32,6.16,6.26,6,4.84,3.53,2.7,1.69,4.25
ALLSKY_SFC_SW_DWN,2008,2.23,3.07,3.7,4.81,5.83,6.39,6,5.76,4.21,3.5,2.4,1.83,4.15
ALLSKY_SFC_SW_DWN,2009,2.45,3.29,3.76,4.57,5.98,6.34,6.1,5.76,4.41,2.67,2.33,1.74,4.12
ALLSKY_SFC_SW_DWN,2010,2.03,2.64,3.6,5.3,5.52,6.48,5.89,6.42,4.46,4.11,2.7,1.94,4.27
ALLSKY_SFC_SW_DWN,2011,2.04,3,3.49,4.94,5.59,6.51,6.97,5.97,5.1,4.03,2.52,1.95,4.35
ALLSKY_SFC_SW_DWN,2012,2.53,3.12,4.24,5.34,6.71,7.42,7.08,5.73,4.88,3.32,2.77,1.86,4.59
ALLSKY_SFC_SW_DWN,2013,2.35,3.04,3.73,4.48,5.34,6.08,6.16,5.51,5.08,3.67,2.6,1.98,4.17
ALLSKY_SFC_SW_DWN,2014,2.35,2.87,4.58,4.6,6.16,6.07,6.85,5.72,4.54,3.66,2.6,1.37,4.29
ALLSKY_SFC_SW_DWN,2015,2.32,3.06,4.67,5.15,4.92,5.9,6.01,5.83,4.87,3.79,2.35,1.76,4.22
ALLSKY_SFC_SW_DWN,2016,2.12,3.53,4.09,5.39,5.65,7.43,6.13,5.49,4.95,3.49,2.58,2.02,4.4
ALLSKY_SFC_SW_DWN,2017,1.94,3.28,3.63,4.52,6.41,7.14,6.83,5.81,4.78,3.37,2.26,2.03,4.34
ALLSKY_SFC_SW_DWN,2018,2.32,2.89,3.72,4.78,6.31,6.67,6.7,5.46,4.3,2.97,2.2,1.94,4.2
ALLSKY_SFC_SW_DWN,2019,1.91,2.65,3.79,5.31,5.09,6.77,6.92,5.22,4.69,3.37,2.52,1.98,4.19
ALLSKY_SFC_SW_DWN,2020,1.85,3.25,3.68,5.28,5.07,7.18,6.2,6.2,4.42,3.4,2.67,2.22,4.29
ALLSKY_SFC_SW_DWN,2021,1.86,2.84,3.98,5.27,4.92,6.62,6.44,5.92,4.88,3.37,2.59,2.19,4.25
ALLSKY_SFC_SW_DWN,2022,2.51,3.53,3.92,5.14,5.31,6.83,6.27,6.24,4.97,4.06,2.53,1.73,4.42
ALLSKY_SFC_SW_DWN,2023,1.93,3.4,3.9,5.99,6.31,6.88,6.09,5.96,5.22,3.49,2.53,1.71,4.45
